//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
0.000668,-0.001672,0.004018,-0.002130,0.042010,0.985980,39457.013238
-0.003593,0.001524,0.002953,-0.004236,0.000903,0.985980,39457.018202
0.001733,0.005785,-0.003439,-0.039392,-0.042585,0.999621,39457.023234
0.002799,0.002589,-0.000243,-0.058069,-0.021619,0.987719,39457.028193
0.000668,-0.006998,-0.005569,-0.031061,0.034411,0.987628,39457.033230
-0.002528,0.000459,0.007214,0.006933,0.051165,1.019214,39457.038192
0.009190,-0.000607,0.006149,-0.010004,0.024157,1.008502,39457.043230
-0.001462,-0.002737,-0.001308,-0.054132,-0.036817,0.988452,39457.048198
0.000668,-0.001672,-0.004504,-0.057520,-0.032148,0.965838,39457.053240
0.000668,0.000459,-0.005569,-0.028955,0.010882,0.998889,39457.058196
0.001733,0.003654,0.004018,0.003454,0.049884,1.027087,39457.063234
-0.000397,-0.000607,0.004018,-0.010553,0.038531,0.996325,39457.068193
0.003864,-0.003803,0.004018,-0.040216,-0.024457,0.974719,39457.073237
0.000668,0.000459,-0.003439,-0.040491,-0.046704,0.979754,39457.078197
-0.000397,0.002589,-0.003439,-0.033991,-0.015760,1.026629,39457.083216
0.002799,-0.001672,0.001888,-0.023737,0.043383,1.026446,39457.088223
-0.002528,-0.003803,0.000822,-0.008539,0.043383,0.979663,39457.093211
-0.001462,0.002589,0.005083,-0.023462,-0.008344,0.982501,39457.098231
-0.001462,0.004720,-0.002373,-0.033258,-0.041852,1.001910,39457.103206
0.000668,-0.000607,0.000822,-0.043512,-0.020520,1.012805,39457.108232
-0.000397,-0.000607,-0.002373,-0.029779,0.033953,1.001086,39457.113206
0.000668,-0.004868,0.001888,0.004462,0.048693,0.979663,39457.118225
0.000668,0.001524,0.004018,-0.008264,0.012255,1.008777,39457.123208
-0.000397,0.000459,0.002953,-0.044519,-0.037183,0.979022,39457.128219
-0.001462,-0.001672,-0.002373,-0.064203,-0.041669,0.973163,39457.133213
-0.004658,0.000459,-0.004504,-0.031976,0.016742,0.987994,39457.138223
-0.001462,0.000459,0.007214,0.008764,0.048144,1.008502,39457.143204
0.000668,-0.000607,-0.001308,-0.003595,0.033679,1.015094,39457.148224
-0.001462,-0.005933,0.006149,-0.045252,-0.018232,0.973712,39457.153215
0.000668,0.001524,0.004018,-0.051752,-0.043500,0.969043,39457.158224
0.002799,0.004720,-0.004504,-0.027307,-0.000196,1.013995,39457.163210
-0.000397,0.000459,-0.002373,-0.005426,0.054461,1.023700,39457.168224
0.001733,0.000459,0.000822,-0.017786,0.043475,1.000171,39457.173204
0.005994,0.000459,0.004018,-0.030878,-0.009351,0.961627,39457.178224
0.004929,0.002589,0.005083,-0.034357,-0.055677,0.996509,39457.183210
0.003864,0.002589,-0.001308,-0.033167,-0.015119,1.025622,39457.188231
0.003864,-0.000607,-0.003439,-0.023096,0.034869,1.007495,39457.192229
-0.002528,-0.002737,0.001888,-0.008539,0.046496,0.978473,39457.197212
-0.001462,-0.000607,0.000822,-0.011560,0.003100,0.983050,39457.202224
0.001733,-0.000607,0.005083,-0.031336,-0.046247,1.001086,39457.207204
0.000668,0.002589,0.000822,-0.050928,-0.028302,1.006671,39457.212201
-0.002528,-0.002737,-0.001308,-0.035089,0.029742,0.991656,39457.217234
-0.001462,0.001524,-0.002373,0.006293,0.053271,1.007220,39457.222200
-0.001462,0.000459,-0.001308,0.000525,0.027453,1.006763,39457.227232
0.004929,-0.000607,0.008279,-0.046167,-0.031964,0.994677,39457.232200
-0.000397,-0.002737,-0.001308,-0.058344,-0.036725,0.969409,39457.237235
-0.000397,0.001524,0.001888,-0.036096,0.002551,0.993213,39457.242196
-0.001462,0.001524,-0.003439,0.006293,0.049426,1.025256,39457.247234
0.001733,-0.004868,-0.001308,-0.004419,0.040179,1.006213,39457.252200
0.001733,-0.004868,0.007214,-0.038751,-0.019239,0.968585,39457.257235
-0.001462,-0.001672,0.001888,-0.044428,-0.052381,0.971972,39457.262192
0.000668,0.001524,-0.001308,-0.031244,-0.013288,1.007495,39457.267243
-0.000397,0.000459,-0.000243,-0.016870,0.041461,1.014178,39457.272199
-0.004658,-0.002737,-0.003439,-0.016046,0.048510,0.977466,39457.277235
0.000668,0.002589,0.000822,-0.025110,-0.003034,0.974902,39457.282202
-0.000397,-0.000607,0.002953,-0.033991,-0.042951,0.996234,39457.287242
0.002799,-0.000607,0.004018,-0.043054,-0.019422,1.022693,39457.292197
0.002799,-0.000607,-0.005569,-0.035639,0.038989,1.008410,39457.297241
0.001733,0.004720,-0.002373,-0.001215,0.056933,0.980761,39457.302199
0.000668,0.000459,-0.002373,-0.000482,0.014270,1.002917,39457.307233
0.004929,0.001524,0.004018,-0.028131,-0.036634,1.006854,39457.312195
0.003864,-0.003803,0.002953,-0.054865,-0.037915,0.993945,39457.317237
0.002799,0.000459,-0.001308,-0.033350,0.009417,0.996692,39457.322201
-0.000397,0.000459,-0.003439,0.006109,0.040179,1.004291,39457.327235
-0.000397,0.002589,-0.000243,0.000159,0.025164,1.013354,39457.332202
0.000668,-0.002737,0.001888,-0.034357,-0.023999,0.982318,39457.337239
-0.004658,-0.002737,0.005083,-0.052759,-0.042218,0.966662,39457.342229
-0.003593,0.002589,0.001888,-0.028955,0.000903,1.005847,39457.347211
0.000668,0.003654,-0.004504,0.000982,0.047320,1.028369,39457.352228
0.003864,-0.002737,-0.006634,-0.008997,0.047595,1.004291,39457.357211
-0.003593,-0.001672,0.002953,-0.039026,-0.008161,0.962085,39457.362226
-0.005724,-0.004868,0.004018,-0.037561,-0.017865,1.012805,39457.367210
-0.000397,0.003654,0.006149,-0.021906,0.033496,1.016742,39457.372231
